disorder_cui|name|definition
C0042134|Uterine hemorrhage|Bleeding from blood vessels in the UTERUS, sometimes manifested as vaginal bleeding.
C0002453|Amenorrhea|Absence of menstruation.
C0036220|Kaposi Sarcoma|A multicentric, malignant neoplastic vascular proliferation characterized by the development of bluish-red cutaneous nodules, usually on the lower extremities, most often on the toes or feet, and slowly increasing in size and number and spreading to more proximal areas. The tumors have endothelium-lined channels and vascular spaces admixed with variably sized aggregates of spindle-shaped cells, and often remain confined to the skin and subcutaneous tissue, but widespread visceral involvement may occur. Kaposi's sarcoma occurs spontaneously in Jewish and Italian males in Europe and the United States. An aggressive variant in young children is endemic in some areas of Africa. A third form occurs in about 0.04% of kidney transplant patients. There is also a high incidence in AIDS patients. (From Dorland, 27th ed & Holland et al., Cancer Medicine, 3d ed, pp2105-7) HHV-8 is the suspected cause.
C1968804|Plasminogen Deficiency, Type I|undefined
C0036508|Seborrheic dermatitis|A chronic inflammatory disease of the skin with unknown etiology. It is characterized by moderate ERYTHEMA, dry, moist, or greasy (SEBACEOUS GLAND) scaling and yellow crusted patches on various areas, especially the scalp, that exfoliate as dandruff. Seborrheic dermatitis is common in children and adolescents with HIV INFECTIONS.
C0031069|Familial Mediterranean Fever|A group of HEREDITARY AUTOINFLAMMATION DISEASES, characterized by recurrent fever, abdominal pain, headache, rash, PLEURISY; and ARTHRITIS. ORCHITIS; benign MENINGITIS; and AMYLOIDOSIS may also occur. Homozygous or compound heterozygous mutations in marenostrin gene encoding PYRIN result in autosomal recessive transmission; simple heterozygous, autosomal dominant form of the disease also exists with mutations in the same gene.
C0023892|Biliary cirrhosis|FIBROSIS of the hepatic parenchyma due to obstruction of BILE flow (CHOLESTASIS) in the intrahepatic or extrahepatic bile ducts (BILE DUCTS, INTRAHEPATIC; BILE DUCTS, EXTRAHEPATIC). Primary biliary cholangitis involves the destruction of small intra-hepatic bile ducts and decreased bile secretion. Secondary biliary cholangitis is produced by prolonged obstruction of large intrahepatic or extrahepatic bile ducts from a variety of causes.
C3665596|Warts|Benign epidermal proliferations or tumors; some are viral in origin.
C0022603|Seborrheic keratosis|Benign eccrine poromas that present as multiple oval, brown-to-black plaques, located mostly on the chest and back. The age of onset is usually in the fourth or fifth decade.
C1301355|Myelodysplastic-Myeloproliferative Diseases|Clonal myeloid disorders that possess both dysplastic and proliferative features but are not properly classified as either MYELODYSPLASTIC SYNDROMES or MYELOPROLIFERATIVE DISORDERS.
C0206647|Dermatofibrosarcoma|A sarcoma of the deep layers of the skin. The tumors are locally aggressive tends to recur but rarely metastatic. It can be classified into variants depending on the cell type tumors are derived from or by its characteristics: Pigmented variant from MELANIN-containing DERMAL DENDRITIC CELLS; Myxoid variant, myxoid STROMAL CELLS; Giant cell variant characterized by GIANT CELLS in the tumors; and Fibrosarcomatous variant chracterized by tumor areas histologically indistinguishable from FIBROSARCOMA.
C0023472|Leukemia, Myeloid, Accelerated Phase|The phase of chronic myeloid leukemia following the chronic phase (LEUKEMIA, MYELOID, CHRONIC-PHASE), where there are increased systemic symptoms, worsening cytopenias, and refractory LEUKOCYTOSIS.
C0013926|Air Embolism|Blocking of a blood vessel by air bubbles that enter the circulatory system, usually after TRAUMA; surgical procedures, or changes in atmospheric pressure.
C0600260|Lung Diseases, Obstructive|Any disorder marked by obstruction of conducting airways of the lung. AIRWAY OBSTRUCTION may be acute, chronic, intermittent, or persistent.
C0011119|Decompression Sickness|A condition occurring as a result of exposure to a rapid fall in ambient pressure. Gases, nitrogen in particular, come out of solution and form bubbles in body fluid and blood. These gas bubbles accumulate in joint spaces and the peripheral circulation impairing tissue oxygenation causing disorientation, severe pain, and potentially death.
C0007020|Carbon Monoxide Poisoning|Toxic asphyxiation due to the displacement of oxygen from oxyhemoglobin by carbon monoxide.
C0034069|Pulmonary Fibrosis|A process in which normal lung tissues are progressively replaced by FIBROBLASTS and COLLAGEN causing an irreversible loss of the ability to transfer oxygen into the bloodstream via PULMONARY ALVEOLI. Patients show progressive DYSPNEA finally resulting in death.
C0035229|Respiratory Insufficiency|Failure to adequately provide oxygen to cells of the body and to remove excess carbon dioxide from them. (Stedman, 25th ed)
C0019618|Histiocytosis|General term for the abnormal appearance of histiocytes in the blood. Based on the pathological features of the cells involved rather than on clinical findings, the histiocytic diseases are subdivided into three groups: HISTIOCYTOSIS, LANGERHANS CELL; HISTIOCYTOSIS, NON-LANGERHANS-CELL; and HISTIOCYTIC DISORDERS, MALIGNANT.
C0149871|Deep Vein Thrombosis|undefined
C0020503|Hyperparathyroidism, Secondary|Abnormally elevated PARATHYROID HORMONE secretion as a response to HYPOCALCEMIA. It is caused by chronic KIDNEY FAILURE or other abnormalities in the controls of bone and mineral metabolism, leading to various BONE DISEASES, such as RENAL OSTEODYSTROPHY.
C0221002|Hyperparathyroidism, Primary|A condition of abnormally elevated output of PARATHYROID HORMONE due to parathyroid HYPERPLASIA or PARATHYROID NEOPLASMS. It is characterized by the combination of HYPERCALCEMIA, phosphaturia, elevated renal 1,25-DIHYDROXYVITAMIN D3 synthesis, and increased BONE RESORPTION.
C0030521|Parathyroid Neoplasms|Tumors or cancer of the PARATHYROID GLANDS.
C0010823|Cytomegalovirus Infections|Infection with CYTOMEGALOVIRUS, characterized by enlarged cells bearing intranuclear inclusions. Infection may be in almost any organ, but the salivary glands are the most common site in children, as are the lungs in adults.
C0206178|Cytomegalovirus Retinitis|Infection of the retina by cytomegalovirus characterized by retinal necrosis, hemorrhage, vessel sheathing, and retinal edema. Cytomegalovirus retinitis is a major opportunistic infection in AIDS patients and can cause blindness.
C2239176|Liver carcinoma|A primary malignant neoplasm of epithelial liver cells. It ranges from a well-differentiated tumor with EPITHELIAL CELLS indistinguishable from normal HEPATOCYTES to a poorly differentiated neoplasm. The cells may be uniform or markedly pleomorphic, or form GIANT CELLS. Several classification schemes have been suggested.
C0014121|Bacterial Endocarditis|Inflammation of the ENDOCARDIUM caused by BACTERIA that entered the bloodstream. The strains of bacteria vary with predisposing factors, such as CONGENITAL HEART DEFECTS; HEART VALVE DISEASES; HEART VALVE PROSTHESIS IMPLANTATION; or intravenous drug use.
C0014347|Enterobacteriaceae Infections|Infections with bacteria of the family ENTEROBACTERIACEAE.
C0342543|Central Precocious Puberty|An autosomal dominant hereditary disorder that is characterized by gonadotropin-dependent precocious puberty due to early activation of the hypothalamic-pituitary-gonadal axis. A mutation in the KISS1R gene has been identified. OMIM: 176400
C0018021|Goiter|Enlargement of the THYROID GLAND that may increase from about 20 grams to hundreds of grams in human adults. Goiter is observed in individuals with normal thyroid function (euthyroidism), thyroid deficiency (HYPOTHYROIDISM), or hormone overproduction (HYPERTHYROIDISM). Goiter may be congenital or acquired, sporadic or endemic (GOITER, ENDEMIC).
C0920350|Autoimmune thyroiditis|Inflammatory disease of the THYROID GLAND due to autoimmune responses leading to lymphocytic infiltration of the gland. It is characterized by the presence of circulating thyroid antigen-specific T-CELLS and thyroid AUTOANTIBODIES. The clinical signs can range from HYPOTHYROIDISM to THYROTOXICOSIS depending on the type of autoimmune thyroiditis.
C0027145|Myxedema|A condition characterized by a dry, waxy type of swelling (EDEMA) with abnormal deposits of MUCOPOLYSACCHARIDES in the SKIN and other tissues. It is caused by a deficiency of THYROID HORMONES. The skin becomes puffy around the eyes and on the cheeks. The face is dull and expressionless with thickened nose and lips.
C0080274|Urinary Retention|Inability to empty the URINARY BLADDER with voiding (URINATION).
C0149925|Small cell carcinoma of lung|A form of highly malignant lung cancer that is composed of small ovoid cells (SMALL CELL CARCINOMA).
C0162442|Parapsoriasis en Plaques|undefined
C0001080|Achondroplasia|"An autosomal dominant disorder that is the most frequent form of short-limb dwarfism. Affected individuals exhibit short stature caused by rhizomelic shortening of the limbs, characteristic facies with frontal bossing and mid-face hypoplasia, exaggerated lumbar lordosis, limitation of elbow extension, GENU VARUM, and trident hand. (Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim, MIM#100800, April 20, 2001)"
C0162316|Iron deficiency anemia|Anemia characterized by decreased or absent iron stores, low serum iron concentration, low transferrin saturation, and low hemoglobin concentration or hematocrit value. The erythrocytes are hypochromic and microcytic and the iron binding capacity is increased.
C0032964|Pregnancy Complications, Hematologic|The co-occurrence of pregnancy and a blood disease (HEMATOLOGIC DISEASES) which involves BLOOD CELLS or COAGULATION FACTORS. The hematologic disease may precede or follow FERTILIZATION and it may or may not have a deleterious effect on the pregnant woman or FETUS.
C0017605|Angle Closure Glaucoma|A form of glaucoma in which the intraocular pressure increases because the angle of the anterior chamber is blocked and the aqueous humor cannot drain from the anterior chamber.
C0043352|Xerostomia|Decreased salivary flow.
C0026961|Mydriasis|Dilation of pupils to greater than 6 mm combined with failure of the pupils to constrict when stimulated with light. This condition may occur due to injury of the pupillary fibers in the oculomotor nerve, in acute angle-closure glaucoma, and in ADIE SYNDROME.
C0014550|Myoclonic Epilepsy|A clinically diverse group of epilepsy syndromes characterized either by myoclonic seizures or by myoclonus in association with other seizure types. Myoclonic epilepsy syndromes are divided into three subtypes based on etiology: familial, cryptogenic, and symptomatic.
C0003467|Anxiety|Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.
C0338480|Common Migraine|Recurrent unilateral pulsatile headaches, not preceded or accompanied by an aura, in attacks lasting 4-72 hours. It is characterized by PAIN of moderate to severe intensity; aggravated by physical activity; and associated with NAUSEA and / or PHOTOPHOBIA and PHONOPHOBIA. (International Classification of Headache Disorders, 2nd ed. Cephalalgia 2004: suppl 1)
